model,threshold,roc_auc,accuracy,precision,recall,f1,support_pos,support_neg
LogisticRegression,0.5,0.48749808252799515,0.49,0.1919191919191919,0.4634146341463415,0.2714285714285714,41,159
RandomForest,0.5,0.5144960883571099,0.77,0.2222222222222222,0.04878048780487805,0.08,41,159
LogisticRegression*bestT,0.45999999999999996,0.48749808252799515,0.31,0.22285714285714286,0.9512195121951219,0.3611111111111111,41,159
RandomForest*bestT,0.2,0.5144960883571099,0.245,0.21354166666666666,1.0,0.351931330472103,41,159
